ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,31203,SYSTEM1.TXT,0.14809,0.39130,0.21486,3

ROUGE-SU4+StopWordRemoval,31203,SYSTEM1.TXT,0.09359,0.26742,0.13865,3

ROUGE-1+StopWordRemoval,32531,SYSTEM1.TXT,0.28508,0.44931,0.34883,3

ROUGE-2+StopWordRemoval,32531,SYSTEM1.TXT,0.10553,0.15233,0.12469,3

ROUGE-L+StopWordRemoval,32531,SYSTEM1.TXT,0.20181,0.28389,0.23592,3

ROUGE-SU4+StopWordRemoval,32531,SYSTEM1.TXT,0.15217,0.21685,0.17884,3

ROUGE-1+StopWordRemoval,31202,SYSTEM1.TXT,0.31290,0.37767,0.34225,3

ROUGE-2+StopWordRemoval,31202,SYSTEM1.TXT,0.10312,0.11583,0.10910,3

ROUGE-L+StopWordRemoval,31202,SYSTEM1.TXT,0.20626,0.23453,0.21949,3

ROUGE-SU4+StopWordRemoval,31202,SYSTEM1.TXT,0.17390,0.16194,0.16771,3

ROUGE-1+StopWordRemoval,32771,SYSTEM1.TXT,0.31360,0.43528,0.36455,4

ROUGE-2+StopWordRemoval,32771,SYSTEM1.TXT,0.12261,0.14397,0.13243,4

ROUGE-L+StopWordRemoval,32771,SYSTEM1.TXT,0.25364,0.26895,0.26107,4

ROUGE-SU4+StopWordRemoval,32771,SYSTEM1.TXT,0.17489,0.20002,0.18661,4

ROUGE-1+StopWordRemoval,31681,SYSTEM1.TXT,0.23206,0.60369,0.33525,4

ROUGE-2+StopWordRemoval,31681,SYSTEM1.TXT,0.08997,0.22213,0.12807,4

ROUGE-L+StopWordRemoval,31681,SYSTEM1.TXT,0.20122,0.38029,0.26319,4

ROUGE-SU4+StopWordRemoval,31681,SYSTEM1.TXT,0.13790,0.29717,0.18838,4

ROUGE-1+StopWordRemoval,32651,SYSTEM1.TXT,0.30773,0.49478,0.37946,3

ROUGE-2+StopWordRemoval,32651,SYSTEM1.TXT,0.15124,0.21830,0.17869,3

ROUGE-L+StopWordRemoval,32651,SYSTEM1.TXT,0.26692,0.35258,0.30383,3

ROUGE-SU4+StopWordRemoval,32651,SYSTEM1.TXT,0.21386,0.27182,0.23938,3

ROUGE-1+StopWordRemoval,32098,SYSTEM1.TXT,0.11164,0.63551,0.18992,4

ROUGE-2+StopWordRemoval,32098,SYSTEM1.TXT,0.06446,0.30535,0.10644,4

ROUGE-L+StopWordRemoval,32098,SYSTEM1.TXT,0.11065,0.43147,0.17614,4

ROUGE-SU4+StopWordRemoval,32098,SYSTEM1.TXT,0.07298,0.38585,0.12274,4

ROUGE-1+StopWordRemoval,31440,SYSTEM1.TXT,0.18363,0.45912,0.26234,3

ROUGE-2+StopWordRemoval,31440,SYSTEM1.TXT,0.05426,0.11497,0.07373,3

ROUGE-L+StopWordRemoval,31440,SYSTEM1.TXT,0.16790,0.27932,0.20973,3

ROUGE-SU4+StopWordRemoval,31440,SYSTEM1.TXT,0.10187,0.20238,0.13552,3

ROUGE-1+StopWordRemoval,31329,SYSTEM1.TXT,0.20113,0.51994,0.29006,3

ROUGE-2+StopWordRemoval,31329,SYSTEM1.TXT,0.07916,0.21544,0.11578,3

ROUGE-L+StopWordRemoval,31329,SYSTEM1.TXT,0.17374,0.36475,0.23537,3

ROUGE-SU4+StopWordRemoval,31329,SYSTEM1.TXT,0.12562,0.29065,0.17542,3

ROUGE-1+StopWordRemoval,30913,SYSTEM1.TXT,0.14128,0.50418,0.22071,3

ROUGE-2+StopWordRemoval,30913,SYSTEM1.TXT,0.03998,0.15576,0.06363,3

ROUGE-L+StopWordRemoval,30913,SYSTEM1.TXT,0.11276,0.33953,0.16930,3

ROUGE-SU4+StopWordRemoval,30913,SYSTEM1.TXT,0.07331,0.23067,0.11126,3

ROUGE-1+StopWordRemoval,31568,SYSTEM1.TXT,0.32659,0.43392,0.37268,3

ROUGE-2+StopWordRemoval,31568,SYSTEM1.TXT,0.09031,0.13322,0.10764,3

ROUGE-L+StopWordRemoval,31568,SYSTEM1.TXT,0.25552,0.30860,0.27956,3

ROUGE-SU4+StopWordRemoval,31568,SYSTEM1.TXT,0.16202,0.20273,0.18010,3

ROUGE-1+StopWordRemoval,31567,SYSTEM1.TXT,0.24480,0.42851,0.31159,4

ROUGE-2+StopWordRemoval,31567,SYSTEM1.TXT,0.08381,0.13283,0.10277,4

ROUGE-L+StopWordRemoval,31567,SYSTEM1.TXT,0.21179,0.28868,0.24433,4

ROUGE-SU4+StopWordRemoval,31567,SYSTEM1.TXT,0.13865,0.19981,0.16370,4

ROUGE-1+StopWordRemoval,32538,SYSTEM1.TXT,0.12969,0.56935,0.21126,5

ROUGE-2+StopWordRemoval,32538,SYSTEM1.TXT,0.05370,0.22484,0.08670,5

ROUGE-L+StopWordRemoval,32538,SYSTEM1.TXT,0.13869,0.41657,0.20810,5

ROUGE-SU4+StopWordRemoval,32538,SYSTEM1.TXT,0.07382,0.31171,0.11936,5

ROUGE-1+StopWordRemoval,31204,SYSTEM1.TXT,0.23617,0.44701,0.30906,3

ROUGE-2+StopWordRemoval,31204,SYSTEM1.TXT,0.06394,0.13190,0.08613,3

ROUGE-L+StopWordRemoval,31204,SYSTEM1.TXT,0.18832,0.31317,0.23520,3

ROUGE-SU4+StopWordRemoval,31204,SYSTEM1.TXT,0.12441,0.20086,0.15365,3

ROUGE-1+StopWordRemoval,32414,SYSTEM1.TXT,0.20763,0.51222,0.29548,3

ROUGE-2+StopWordRemoval,32414,SYSTEM1.TXT,0.06439,0.15212,0.09048,3

ROUGE-L+StopWordRemoval,32414,SYSTEM1.TXT,0.19498,0.35807,0.25248,3

ROUGE-SU4+StopWordRemoval,32414,SYSTEM1.TXT,0.11507,0.24385,0.15636,3

ROUGE-1+StopWordRemoval,32657,SYSTEM1.TXT,0.32441,0.40496,0.36024,3

ROUGE-2+StopWordRemoval,32657,SYSTEM1.TXT,0.10204,0.12138,0.11087,3

ROUGE-L+StopWordRemoval,32657,SYSTEM1.TXT,0.22324,0.28763,0.25138,3

ROUGE-SU4+StopWordRemoval,32657,SYSTEM1.TXT,0.16527,0.17610,0.17051,3

ROUGE-1+StopWordRemoval,33053,SYSTEM1.TXT,0.32374,0.36889,0.34485,3

ROUGE-2+StopWordRemoval,33053,SYSTEM1.TXT,0.18866,0.17544,0.18181,3

ROUGE-L+StopWordRemoval,33053,SYSTEM1.TXT,0.18699,0.24366,0.21160,3

ROUGE-SU4+StopWordRemoval,33053,SYSTEM1.TXT,0.22696,0.20241,0.21398,3

ROUGE-1+StopWordRemoval,33054,SYSTEM1.TXT,0.27705,0.38803,0.32328,3

ROUGE-2+StopWordRemoval,33054,SYSTEM1.TXT,0.10492,0.13533,0.11820,3

ROUGE-L+StopWordRemoval,33054,SYSTEM1.TXT,0.18723,0.36623,0.24778,3

ROUGE-SU4+StopWordRemoval,33054,SYSTEM1.TXT,0.14235,0.17867,0.15845,3

ROUGE-1+StopWordRemoval,32886,SYSTEM1.TXT,0.38108,0.37268,0.37683,4

ROUGE-2+StopWordRemoval,32886,SYSTEM1.TXT,0.11188,0.11116,0.11152,4

ROUGE-L+StopWordRemoval,32886,SYSTEM1.TXT,0.24917,0.25173,0.25045,4

ROUGE-SU4+StopWordRemoval,32886,SYSTEM1.TXT,0.19726,0.17024,0.18276,4

ROUGE-1+StopWordRemoval,31794,SYSTEM1.TXT,0.29064,0.33842,0.31271,3

ROUGE-2+StopWordRemoval,31794,SYSTEM1.TXT,0.13641,0.10062,0.11581,3

ROUGE-L+StopWordRemoval,31794,SYSTEM1.TXT,0.26034,0.24331,0.25154,3

ROUGE-SU4+StopWordRemoval,31794,SYSTEM1.TXT,0.18836,0.13583,0.15784,3

ROUGE-1+StopWordRemoval,33057,SYSTEM1.TXT,0.38099,0.45941,0.41654,4

ROUGE-2+StopWordRemoval,33057,SYSTEM1.TXT,0.16495,0.20192,0.18157,4

ROUGE-L+StopWordRemoval,33057,SYSTEM1.TXT,0.31646,0.35980,0.33674,4

ROUGE-SU4+StopWordRemoval,33057,SYSTEM1.TXT,0.23050,0.24054,0.23541,4

ROUGE-1+StopWordRemoval,31319,SYSTEM1.TXT,0.32284,0.47010,0.38280,3

ROUGE-2+StopWordRemoval,31319,SYSTEM1.TXT,0.13667,0.17935,0.15513,3

ROUGE-L+StopWordRemoval,31319,SYSTEM1.TXT,0.28858,0.31834,0.30273,3

ROUGE-SU4+StopWordRemoval,31319,SYSTEM1.TXT,0.19741,0.23802,0.21582,3

ROUGE-1+StopWordRemoval,30901,SYSTEM1.TXT,0.12036,0.58947,0.19991,3

ROUGE-2+StopWordRemoval,30901,SYSTEM1.TXT,0.03415,0.24040,0.05981,3

ROUGE-L+StopWordRemoval,30901,SYSTEM1.TXT,0.11058,0.44256,0.17694,3

ROUGE-SU4+StopWordRemoval,30901,SYSTEM1.TXT,0.05885,0.34280,0.10045,3

ROUGE-1+StopWordRemoval,30903,SYSTEM1.TXT,0.34982,0.48749,0.40733,3

ROUGE-2+StopWordRemoval,30903,SYSTEM1.TXT,0.15384,0.18781,0.16914,3

ROUGE-L+StopWordRemoval,30903,SYSTEM1.TXT,0.32148,0.33333,0.32730,3

ROUGE-SU4+StopWordRemoval,30903,SYSTEM1.TXT,0.22753,0.26076,0.24301,3

ROUGE-1+StopWordRemoval,32408,SYSTEM1.TXT,0.36395,0.44870,0.40190,3

ROUGE-2+StopWordRemoval,32408,SYSTEM1.TXT,0.12433,0.17504,0.14539,3

ROUGE-L+StopWordRemoval,32408,SYSTEM1.TXT,0.27878,0.32338,0.29943,3

ROUGE-SU4+StopWordRemoval,32408,SYSTEM1.TXT,0.19539,0.24052,0.21562,3

ROUGE-1+StopWordRemoval,30902,SYSTEM1.TXT,0.17769,0.43582,0.25245,3

ROUGE-2+StopWordRemoval,30902,SYSTEM1.TXT,0.04432,0.11228,0.06356,3

ROUGE-L+StopWordRemoval,30902,SYSTEM1.TXT,0.13558,0.32870,0.19198,3

ROUGE-SU4+StopWordRemoval,30902,SYSTEM1.TXT,0.08914,0.20623,0.12448,3

ROUGE-1+StopWordRemoval,31678,SYSTEM1.TXT,0.29970,0.44160,0.35707,4

ROUGE-2+StopWordRemoval,31678,SYSTEM1.TXT,0.11599,0.17041,0.13803,4

ROUGE-L+StopWordRemoval,31678,SYSTEM1.TXT,0.23175,0.30246,0.26242,4

ROUGE-SU4+StopWordRemoval,31678,SYSTEM1.TXT,0.17863,0.21891,0.19673,4

ROUGE-1+StopWordRemoval,31315,SYSTEM1.TXT,0.29242,0.60101,0.39342,3

ROUGE-2+StopWordRemoval,31315,SYSTEM1.TXT,0.10294,0.24536,0.14503,3

ROUGE-L+StopWordRemoval,31315,SYSTEM1.TXT,0.22519,0.41066,0.29088,3

ROUGE-SU4+StopWordRemoval,31315,SYSTEM1.TXT,0.14714,0.33095,0.20371,3

ROUGE-1+StopWordRemoval,31677,SYSTEM1.TXT,0.23343,0.43152,0.30297,3

ROUGE-2+StopWordRemoval,31677,SYSTEM1.TXT,0.06672,0.10801,0.08249,3

ROUGE-L+StopWordRemoval,31677,SYSTEM1.TXT,0.16770,0.25265,0.20159,3

ROUGE-SU4+StopWordRemoval,31677,SYSTEM1.TXT,0.12442,0.17179,0.14432,3

ROUGE-1+StopWordRemoval,32648,SYSTEM1.TXT,0.22452,0.56061,0.32063,3

ROUGE-2+StopWordRemoval,32648,SYSTEM1.TXT,0.08319,0.22654,0.12169,3

ROUGE-L+StopWordRemoval,32648,SYSTEM1.TXT,0.17223,0.38049,0.23712,3

ROUGE-SU4+StopWordRemoval,32648,SYSTEM1.TXT,0.11173,0.31648,0.16515,3

ROUGE-1+StopWordRemoval,31316,SYSTEM1.TXT,0.27779,0.41229,0.33193,4

ROUGE-2+StopWordRemoval,31316,SYSTEM1.TXT,0.09794,0.14668,0.11745,4

ROUGE-L+StopWordRemoval,31316,SYSTEM1.TXT,0.24067,0.27911,0.25847,4

ROUGE-SU4+StopWordRemoval,31316,SYSTEM1.TXT,0.15356,0.20111,0.17415,4

ROUGE-1+StopWordRemoval,32074,SYSTEM1.TXT,0.33409,0.36647,0.34953,4

ROUGE-2+StopWordRemoval,32074,SYSTEM1.TXT,0.09326,0.09165,0.09245,4

ROUGE-L+StopWordRemoval,32074,SYSTEM1.TXT,0.25207,0.23225,0.24176,4

ROUGE-SU4+StopWordRemoval,32074,SYSTEM1.TXT,0.17450,0.15995,0.16691,4

ROUGE-1+StopWordRemoval,32196,SYSTEM1.TXT,0.22083,0.37543,0.27808,3

ROUGE-2+StopWordRemoval,32196,SYSTEM1.TXT,0.05004,0.08776,0.06373,3

ROUGE-L+StopWordRemoval,32196,SYSTEM1.TXT,0.19408,0.25798,0.22152,3

ROUGE-SU4+StopWordRemoval,32196,SYSTEM1.TXT,0.10656,0.15849,0.12744,3

ROUGE-1+StopWordRemoval,32072,SYSTEM1.TXT,0.23162,0.42199,0.29908,3

ROUGE-2+StopWordRemoval,32072,SYSTEM1.TXT,0.09380,0.14444,0.11374,3

ROUGE-L+StopWordRemoval,32072,SYSTEM1.TXT,0.16192,0.25038,0.19666,3

ROUGE-SU4+StopWordRemoval,32072,SYSTEM1.TXT,0.13066,0.20836,0.16061,3

ROUGE-1+StopWordRemoval,32071,SYSTEM1.TXT,0.35380,0.45571,0.39834,4

ROUGE-2+StopWordRemoval,32071,SYSTEM1.TXT,0.09341,0.11485,0.10303,4

ROUGE-L+StopWordRemoval,32071,SYSTEM1.TXT,0.28575,0.34535,0.31273,4

ROUGE-SU4+StopWordRemoval,32071,SYSTEM1.TXT,0.17897,0.19061,0.18461,4

ROUGE-1+StopWordRemoval,32190,SYSTEM1.TXT,0.29306,0.43025,0.34864,3

ROUGE-2+StopWordRemoval,32190,SYSTEM1.TXT,0.10107,0.13779,0.11661,3

ROUGE-L+StopWordRemoval,32190,SYSTEM1.TXT,0.20396,0.33000,0.25211,3

ROUGE-SU4+StopWordRemoval,32190,SYSTEM1.TXT,0.14809,0.19537,0.16847,3

ROUGE-1+StopWordRemoval,32874,SYSTEM1.TXT,0.26714,0.39178,0.31767,4

ROUGE-2+StopWordRemoval,32874,SYSTEM1.TXT,0.14525,0.12578,0.13482,4

ROUGE-L+StopWordRemoval,32874,SYSTEM1.TXT,0.15074,0.29891,0.20042,4

ROUGE-SU4+StopWordRemoval,32874,SYSTEM1.TXT,0.16694,0.16395,0.16543,4

ROUGE-1+StopWordRemoval,31784,SYSTEM1.TXT,0.27460,0.48698,0.35117,3

ROUGE-2+StopWordRemoval,31784,SYSTEM1.TXT,0.08193,0.18759,0.11405,3

ROUGE-L+StopWordRemoval,31784,SYSTEM1.TXT,0.23286,0.34927,0.27943,3

ROUGE-SU4+StopWordRemoval,31784,SYSTEM1.TXT,0.14119,0.26079,0.18320,3

ROUGE-1+StopWordRemoval,31664,SYSTEM1.TXT,0.17777,0.59767,0.27404,3

ROUGE-2+StopWordRemoval,31664,SYSTEM1.TXT,0.08862,0.30864,0.13771,3

ROUGE-L+StopWordRemoval,31664,SYSTEM1.TXT,0.14386,0.44086,0.21693,3

ROUGE-SU4+StopWordRemoval,31664,SYSTEM1.TXT,0.10976,0.38981,0.17129,3

ROUGE-1+StopWordRemoval,32197,SYSTEM1.TXT,0.32530,0.29706,0.31054,3

ROUGE-2+StopWordRemoval,32197,SYSTEM1.TXT,0.04734,0.08213,0.06006,3

ROUGE-L+StopWordRemoval,32197,SYSTEM1.TXT,0.24647,0.24013,0.24326,3

ROUGE-SU4+StopWordRemoval,32197,SYSTEM1.TXT,0.13301,0.12475,0.12875,3

ROUGE-1+StopWordRemoval,31540,SYSTEM1.TXT,0.22666,0.46853,0.30552,3

ROUGE-2+StopWordRemoval,31540,SYSTEM1.TXT,0.03997,0.11699,0.05958,3

ROUGE-L+StopWordRemoval,31540,SYSTEM1.TXT,0.18216,0.34140,0.23756,3

ROUGE-SU4+StopWordRemoval,31540,SYSTEM1.TXT,0.09265,0.20419,0.12746,3

ROUGE-1+StopWordRemoval,31661,SYSTEM1.TXT,0.17765,0.47246,0.25821,3

ROUGE-2+StopWordRemoval,31661,SYSTEM1.TXT,0.07809,0.18241,0.10937,3

ROUGE-L+StopWordRemoval,31661,SYSTEM1.TXT,0.14447,0.36007,0.20620,3

ROUGE-SU4+StopWordRemoval,31661,SYSTEM1.TXT,0.10538,0.24334,0.14707,3

ROUGE-1+StopWordRemoval,31546,SYSTEM1.TXT,0.34247,0.33750,0.33997,4

ROUGE-2+StopWordRemoval,31546,SYSTEM1.TXT,0.08298,0.09309,0.08774,4

ROUGE-L+StopWordRemoval,31546,SYSTEM1.TXT,0.26011,0.21763,0.23698,4

ROUGE-SU4+StopWordRemoval,31546,SYSTEM1.TXT,0.16192,0.14333,0.15206,4

ROUGE-1+StopWordRemoval,32879,SYSTEM1.TXT,0.37312,0.45375,0.40950,3

ROUGE-2+StopWordRemoval,32879,SYSTEM1.TXT,0.16338,0.21288,0.18488,3

ROUGE-L+StopWordRemoval,32879,SYSTEM1.TXT,0.28839,0.32107,0.30385,3

ROUGE-SU4+StopWordRemoval,32879,SYSTEM1.TXT,0.22146,0.26439,0.24103,3

ROUGE-1+StopWordRemoval,31424,SYSTEM1.TXT,0.23051,0.50492,0.31652,3

ROUGE-2+StopWordRemoval,31424,SYSTEM1.TXT,0.10940,0.22260,0.14670,3

ROUGE-L+StopWordRemoval,31424,SYSTEM1.TXT,0.25797,0.32590,0.28799,3

ROUGE-SU4+StopWordRemoval,31424,SYSTEM1.TXT,0.15318,0.28435,0.19910,3

ROUGE-1+StopWordRemoval,31306,SYSTEM1.TXT,0.29444,0.42304,0.34722,3

ROUGE-2+StopWordRemoval,31306,SYSTEM1.TXT,0.11251,0.15975,0.13203,3

ROUGE-L+StopWordRemoval,31306,SYSTEM1.TXT,0.26317,0.27251,0.26776,3

ROUGE-SU4+StopWordRemoval,31306,SYSTEM1.TXT,0.16126,0.21819,0.18546,3

ROUGE-1+StopWordRemoval,32185,SYSTEM1.TXT,0.28104,0.48762,0.35657,3

ROUGE-2+StopWordRemoval,32185,SYSTEM1.TXT,0.13687,0.21219,0.16641,3

ROUGE-L+StopWordRemoval,32185,SYSTEM1.TXT,0.19052,0.33333,0.24246,3

ROUGE-SU4+StopWordRemoval,32185,SYSTEM1.TXT,0.17527,0.26893,0.21223,3

ROUGE-1+StopWordRemoval,32061,SYSTEM1.TXT,0.46110,0.34443,0.39432,4

ROUGE-2+StopWordRemoval,32061,SYSTEM1.TXT,0.19226,0.12983,0.15500,4

ROUGE-L+StopWordRemoval,32061,SYSTEM1.TXT,0.39368,0.24398,0.30125,4

ROUGE-SU4+StopWordRemoval,32061,SYSTEM1.TXT,0.27258,0.16100,0.20243,4

ROUGE-1+StopWordRemoval,32183,SYSTEM1.TXT,0.15932,0.27951,0.20295,3

ROUGE-2+StopWordRemoval,32183,SYSTEM1.TXT,0.02651,0.05171,0.03505,3

ROUGE-L+StopWordRemoval,32183,SYSTEM1.TXT,0.13515,0.26329,0.17862,3

ROUGE-SU4+StopWordRemoval,32183,SYSTEM1.TXT,0.05801,0.10807,0.07550,3

ROUGE-1+StopWordRemoval,32180,SYSTEM1.TXT,0.26934,0.38828,0.31806,4

ROUGE-2+StopWordRemoval,32180,SYSTEM1.TXT,0.08448,0.11271,0.09657,4

ROUGE-L+StopWordRemoval,32180,SYSTEM1.TXT,0.24429,0.24857,0.24641,4

ROUGE-SU4+StopWordRemoval,32180,SYSTEM1.TXT,0.14850,0.16781,0.15757,4

ROUGE-1+StopWordRemoval,33039,SYSTEM1.TXT,0.16058,0.51184,0.24446,3

ROUGE-2+StopWordRemoval,33039,SYSTEM1.TXT,0.04459,0.13186,0.06664,3

ROUGE-L+StopWordRemoval,33039,SYSTEM1.TXT,0.14332,0.36932,0.20651,3

ROUGE-SU4+StopWordRemoval,33039,SYSTEM1.TXT,0.07706,0.23852,0.11649,3

ROUGE-1+StopWordRemoval,33037,SYSTEM1.TXT,0.21432,0.46124,0.29265,3

ROUGE-2+StopWordRemoval,33037,SYSTEM1.TXT,0.06668,0.14172,0.09069,3

ROUGE-L+StopWordRemoval,33037,SYSTEM1.TXT,0.18683,0.31936,0.23575,3

ROUGE-SU4+StopWordRemoval,33037,SYSTEM1.TXT,0.10365,0.23382,0.14363,3

ROUGE-1+StopWordRemoval,31654,SYSTEM1.TXT,0.33166,0.24965,0.28487,4

ROUGE-2+StopWordRemoval,31654,SYSTEM1.TXT,0.14157,0.09250,0.11189,4

ROUGE-L+StopWordRemoval,31654,SYSTEM1.TXT,0.27152,0.21864,0.24223,4

ROUGE-SU4+StopWordRemoval,31654,SYSTEM1.TXT,0.21035,0.11870,0.15176,4

ROUGE-1+StopWordRemoval,33038,SYSTEM1.TXT,0.20550,0.48448,0.28859,3

ROUGE-2+StopWordRemoval,33038,SYSTEM1.TXT,0.06469,0.16294,0.09261,3

ROUGE-L+StopWordRemoval,33038,SYSTEM1.TXT,0.16183,0.34674,0.22067,3

ROUGE-SU4+StopWordRemoval,33038,SYSTEM1.TXT,0.09577,0.24069,0.13702,3

ROUGE-1+StopWordRemoval,33035,SYSTEM1.TXT,0.23350,0.44324,0.30586,3

ROUGE-2+StopWordRemoval,33035,SYSTEM1.TXT,0.08199,0.15729,0.10780,3

ROUGE-L+StopWordRemoval,33035,SYSTEM1.TXT,0.21189,0.34583,0.26278,3

ROUGE-SU4+StopWordRemoval,33035,SYSTEM1.TXT,0.12662,0.23662,0.16497,3

ROUGE-1+StopWordRemoval,32067,SYSTEM1.TXT,0.35012,0.35284,0.35147,3

ROUGE-2+StopWordRemoval,32067,SYSTEM1.TXT,0.12367,0.10246,0.11207,3

ROUGE-L+StopWordRemoval,32067,SYSTEM1.TXT,0.25708,0.28226,0.26908,3

ROUGE-SU4+StopWordRemoval,32067,SYSTEM1.TXT,0.17643,0.14952,0.16186,3

ROUGE-1+StopWordRemoval,33036,SYSTEM1.TXT,0.20436,0.39167,0.26859,3

ROUGE-2+StopWordRemoval,33036,SYSTEM1.TXT,0.06106,0.11505,0.07978,3

ROUGE-L+StopWordRemoval,33036,SYSTEM1.TXT,0.15753,0.28431,0.20273,3

ROUGE-SU4+StopWordRemoval,33036,SYSTEM1.TXT,0.11114,0.21061,0.14550,3

ROUGE-1+StopWordRemoval,31650,SYSTEM1.TXT,0.35369,0.34090,0.34718,3

ROUGE-2+StopWordRemoval,31650,SYSTEM1.TXT,0.08317,0.07448,0.07859,3

ROUGE-L+StopWordRemoval,31650,SYSTEM1.TXT,0.28936,0.22829,0.25523,3

ROUGE-SU4+StopWordRemoval,31650,SYSTEM1.TXT,0.16832,0.13424,0.14936,3

ROUGE-1+StopWordRemoval,32186,SYSTEM1.TXT,0.22869,0.43937,0.30081,3

ROUGE-2+StopWordRemoval,32186,SYSTEM1.TXT,0.07900,0.13937,0.10084,3

ROUGE-L+StopWordRemoval,32186,SYSTEM1.TXT,0.17492,0.24911,0.20553,3

ROUGE-SU4+StopWordRemoval,32186,SYSTEM1.TXT,0.12627,0.20635,0.15667,3

ROUGE-1+StopWordRemoval,33154,SYSTEM1.TXT,0.27074,0.39172,0.32018,3

ROUGE-2+StopWordRemoval,33154,SYSTEM1.TXT,0.08903,0.11638,0.10088,3

ROUGE-L+StopWordRemoval,33154,SYSTEM1.TXT,0.23371,0.25882,0.24563,3

ROUGE-SU4+StopWordRemoval,33154,SYSTEM1.TXT,0.13535,0.18451,0.15615,3

ROUGE-1+StopWordRemoval,33155,SYSTEM1.TXT,0.23784,0.29514,0.26341,4

ROUGE-2+StopWordRemoval,33155,SYSTEM1.TXT,0.10143,0.08700,0.09366,4

ROUGE-L+StopWordRemoval,33155,SYSTEM1.TXT,0.14430,0.24306,0.18109,4

ROUGE-SU4+StopWordRemoval,33155,SYSTEM1.TXT,0.14517,0.12420,0.13387,4

ROUGE-1+StopWordRemoval,31659,SYSTEM1.TXT,0.47190,0.48427,0.47800,3

ROUGE-2+StopWordRemoval,31659,SYSTEM1.TXT,0.25097,0.25743,0.25416,3

ROUGE-L+StopWordRemoval,31659,SYSTEM1.TXT,0.35549,0.35570,0.35560,3

ROUGE-SU4+StopWordRemoval,31659,SYSTEM1.TXT,0.29251,0.29924,0.29584,3

ROUGE-1+StopWordRemoval,31655,SYSTEM1.TXT,0.17640,0.55142,0.26730,3

ROUGE-2+StopWordRemoval,31655,SYSTEM1.TXT,0.06055,0.19165,0.09202,3

ROUGE-L+StopWordRemoval,31655,SYSTEM1.TXT,0.15701,0.33190,0.21318,3

ROUGE-SU4+StopWordRemoval,31655,SYSTEM1.TXT,0.08873,0.25793,0.13204,3

ROUGE-1+StopWordRemoval,32865,SYSTEM1.TXT,0.29909,0.42763,0.35199,3

ROUGE-2+StopWordRemoval,32865,SYSTEM1.TXT,0.15992,0.20774,0.18072,3

ROUGE-L+StopWordRemoval,32865,SYSTEM1.TXT,0.23231,0.30481,0.26367,3

ROUGE-SU4+StopWordRemoval,32865,SYSTEM1.TXT,0.20881,0.27534,0.23751,3

ROUGE-1+StopWordRemoval,32623,SYSTEM1.TXT,0.28735,0.48313,0.36037,3

ROUGE-2+StopWordRemoval,32623,SYSTEM1.TXT,0.14661,0.21451,0.17417,3

ROUGE-L+StopWordRemoval,32623,SYSTEM1.TXT,0.21338,0.29275,0.24684,3

ROUGE-SU4+StopWordRemoval,32623,SYSTEM1.TXT,0.17892,0.26661,0.21413,3

ROUGE-1+StopWordRemoval,32609,SYSTEM1.TXT,0.26813,0.43405,0.33149,3

ROUGE-2+StopWordRemoval,32609,SYSTEM1.TXT,0.06334,0.14097,0.08741,3

ROUGE-L+StopWordRemoval,32609,SYSTEM1.TXT,0.21976,0.31087,0.25749,3

ROUGE-SU4+StopWordRemoval,32609,SYSTEM1.TXT,0.12304,0.21155,0.15559,3

ROUGE-1+StopWordRemoval,32051,SYSTEM1.TXT,0.30029,0.47660,0.36844,3

ROUGE-2+StopWordRemoval,32051,SYSTEM1.TXT,0.12458,0.18027,0.14733,3

ROUGE-L+StopWordRemoval,32051,SYSTEM1.TXT,0.22716,0.31586,0.26426,3

ROUGE-SU4+StopWordRemoval,32051,SYSTEM1.TXT,0.17341,0.23642,0.20007,3

ROUGE-1+StopWordRemoval,32170,SYSTEM1.TXT,0.18054,0.49112,0.26402,4

ROUGE-2+StopWordRemoval,32170,SYSTEM1.TXT,0.06378,0.16411,0.09186,4

ROUGE-L+StopWordRemoval,32170,SYSTEM1.TXT,0.20986,0.32581,0.25529,4

ROUGE-SU4+StopWordRemoval,32170,SYSTEM1.TXT,0.09685,0.22670,0.13572,4

ROUGE-1+StopWordRemoval,33029,SYSTEM1.TXT,0.13802,0.45436,0.21173,3

ROUGE-2+StopWordRemoval,33029,SYSTEM1.TXT,0.06652,0.19907,0.09971,3

ROUGE-L+StopWordRemoval,33029,SYSTEM1.TXT,0.12365,0.34744,0.18239,3

ROUGE-SU4+StopWordRemoval,33029,SYSTEM1.TXT,0.08902,0.23695,0.12942,3

ROUGE-1+StopWordRemoval,30796,SYSTEM1.TXT,0.17314,0.50136,0.25740,3

ROUGE-2+StopWordRemoval,30796,SYSTEM1.TXT,0.07863,0.21317,0.11488,3

