ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,30947,SYSTEM1.TXT,0.19165,0.29527,0.23244,4

ROUGE-SU4+StopWordRemoval,30947,SYSTEM1.TXT,0.15975,0.20684,0.18027,4

ROUGE-1+StopWordRemoval,31914,SYSTEM1.TXT,0.29352,0.33283,0.31194,4

ROUGE-2+StopWordRemoval,31914,SYSTEM1.TXT,0.09927,0.10212,0.10067,4

ROUGE-L+StopWordRemoval,31914,SYSTEM1.TXT,0.21243,0.22031,0.21630,4

ROUGE-SU4+StopWordRemoval,31914,SYSTEM1.TXT,0.15751,0.15020,0.15377,4

ROUGE-1+StopWordRemoval,30946,SYSTEM1.TXT,0.31331,0.43466,0.36414,3

ROUGE-2+StopWordRemoval,30946,SYSTEM1.TXT,0.06839,0.08223,0.07467,3

ROUGE-L+StopWordRemoval,30946,SYSTEM1.TXT,0.21344,0.26852,0.23783,3

ROUGE-SU4+StopWordRemoval,30946,SYSTEM1.TXT,0.15461,0.15745,0.15602,3

ROUGE-1+StopWordRemoval,30941,SYSTEM1.TXT,0.30815,0.48148,0.37579,3

ROUGE-2+StopWordRemoval,30941,SYSTEM1.TXT,0.08395,0.13512,0.10356,3

ROUGE-L+StopWordRemoval,30941,SYSTEM1.TXT,0.22408,0.30745,0.25922,3

ROUGE-SU4+StopWordRemoval,30941,SYSTEM1.TXT,0.15857,0.21317,0.18186,3

ROUGE-1+StopWordRemoval,30820,SYSTEM1.TXT,0.11770,0.55866,0.19443,3

ROUGE-2+StopWordRemoval,30820,SYSTEM1.TXT,0.06000,0.21753,0.09405,3

ROUGE-L+StopWordRemoval,30820,SYSTEM1.TXT,0.10719,0.40000,0.16908,3

ROUGE-SU4+StopWordRemoval,30820,SYSTEM1.TXT,0.08128,0.31872,0.12953,3

ROUGE-1+StopWordRemoval,31358,SYSTEM1.TXT,0.25387,0.56856,0.35101,4

ROUGE-2+StopWordRemoval,31358,SYSTEM1.TXT,0.09614,0.22891,0.13541,4

ROUGE-L+StopWordRemoval,31358,SYSTEM1.TXT,0.25496,0.43885,0.32254,4

ROUGE-SU4+StopWordRemoval,31358,SYSTEM1.TXT,0.14131,0.29298,0.19066,4

ROUGE-1+StopWordRemoval,30940,SYSTEM1.TXT,0.32523,0.42300,0.36773,4

ROUGE-2+StopWordRemoval,30940,SYSTEM1.TXT,0.11126,0.11616,0.11366,4

ROUGE-L+StopWordRemoval,30940,SYSTEM1.TXT,0.24063,0.27391,0.25620,4

ROUGE-SU4+StopWordRemoval,30940,SYSTEM1.TXT,0.18175,0.18453,0.18313,4

ROUGE-1+StopWordRemoval,30822,SYSTEM1.TXT,0.12410,0.47145,0.19648,3

ROUGE-2+StopWordRemoval,30822,SYSTEM1.TXT,0.04062,0.14530,0.06349,3

ROUGE-L+StopWordRemoval,30822,SYSTEM1.TXT,0.08687,0.40385,0.14298,3

ROUGE-SU4+StopWordRemoval,30822,SYSTEM1.TXT,0.05942,0.21833,0.09342,3

ROUGE-1+StopWordRemoval,30943,SYSTEM1.TXT,0.28764,0.44552,0.34958,4

ROUGE-2+StopWordRemoval,30943,SYSTEM1.TXT,0.08603,0.13198,0.10417,4

ROUGE-L+StopWordRemoval,30943,SYSTEM1.TXT,0.23019,0.28241,0.25364,4

ROUGE-SU4+StopWordRemoval,30943,SYSTEM1.TXT,0.14351,0.20085,0.16741,4

ROUGE-1+StopWordRemoval,30821,SYSTEM1.TXT,0.19072,0.45755,0.26922,4

ROUGE-2+StopWordRemoval,30821,SYSTEM1.TXT,0.06339,0.15775,0.09044,4

ROUGE-L+StopWordRemoval,30821,SYSTEM1.TXT,0.17299,0.33730,0.22869,4

ROUGE-SU4+StopWordRemoval,30821,SYSTEM1.TXT,0.10631,0.22772,0.14495,4

ROUGE-1+StopWordRemoval,30927,SYSTEM1.TXT,0.17136,0.42832,0.24478,3

ROUGE-2+StopWordRemoval,30927,SYSTEM1.TXT,0.03259,0.10714,0.04998,3

ROUGE-L+StopWordRemoval,30927,SYSTEM1.TXT,0.14243,0.31273,0.19572,3

ROUGE-SU4+StopWordRemoval,30927,SYSTEM1.TXT,0.07615,0.18526,0.10794,3

ROUGE-1+StopWordRemoval,30808,SYSTEM1.TXT,0.13801,0.45096,0.21134,6

ROUGE-2+StopWordRemoval,30808,SYSTEM1.TXT,0.03824,0.13200,0.05930,6

ROUGE-L+StopWordRemoval,30808,SYSTEM1.TXT,0.13666,0.29745,0.18728,6

ROUGE-SU4+StopWordRemoval,30808,SYSTEM1.TXT,0.07101,0.22123,0.10752,6

ROUGE-1+StopWordRemoval,33083,SYSTEM1.TXT,0.13665,0.51048,0.21559,3

ROUGE-2+StopWordRemoval,33083,SYSTEM1.TXT,0.03951,0.13889,0.06152,3

ROUGE-L+StopWordRemoval,33083,SYSTEM1.TXT,0.12904,0.42446,0.19792,3

ROUGE-SU4+StopWordRemoval,33083,SYSTEM1.TXT,0.07423,0.24487,0.11392,3

ROUGE-1+StopWordRemoval,32555,SYSTEM1.TXT,0.32490,0.52756,0.40214,3

ROUGE-2+StopWordRemoval,32555,SYSTEM1.TXT,0.16879,0.25319,0.20255,3

ROUGE-L+StopWordRemoval,32555,SYSTEM1.TXT,0.25127,0.34094,0.28932,3

ROUGE-SU4+StopWordRemoval,32555,SYSTEM1.TXT,0.20414,0.28415,0.23759,3

ROUGE-1+StopWordRemoval,31101,SYSTEM1.TXT,0.15852,0.47855,0.23815,3

ROUGE-2+StopWordRemoval,31101,SYSTEM1.TXT,0.04741,0.16196,0.07335,3

ROUGE-L+StopWordRemoval,31101,SYSTEM1.TXT,0.12444,0.31217,0.17794,3

ROUGE-SU4+StopWordRemoval,31101,SYSTEM1.TXT,0.07580,0.22887,0.11389,3

ROUGE-1+StopWordRemoval,32556,SYSTEM1.TXT,0.22727,0.48212,0.30892,3

ROUGE-2+StopWordRemoval,32556,SYSTEM1.TXT,0.06905,0.13701,0.09182,3

