,metric,Avg_Recall,Avg_Precision,Avg_F-Score
0,ROUGE-1+StopWordRemoval,0.252980826446281,0.4339188429752066,0.30536134986225894
1,ROUGE-2+StopWordRemoval,0.09013435261707989,0.14501446280991734,0.10428818181818181
2,ROUGE-L+StopWordRemoval,0.20054198347107438,0.3063043250688705,0.23240683195592282
3,ROUGE-SU4+StopWordRemoval,0.14011947658402202,0.20980754820936642,0.15792157024793388
